input,output
5.49467236,15.68567711
-8.56169677,18.71320359
-4.51242391,14.23806685
8.52185045,18.70918603
2.85568947,9.56852818
8.37771727,18.48695115
3.59386081,12.53569883
1.13555005,4.84931078
4.4660263,14.15512517
-6.80727196,16.17042729
-5.7767956,15.23696848
3.41465563,12.19228261
-2.68265215,10.35958509
8.07007729,16.26555699
-1.79838418,7.41126951
-0.88045283,3.87046434
-4.74816042,13.99210669
5.93136131,14.13069358
-0.620075,4.56838806
-7.61353902,17.88640221
-4.93570842,12.75740655
-6.41324088,16.74698584
-5.00649659,12.65422818
-4.7845386,13.79645705
-7.19783963,16.59793508
-9.91328351,17.61237399
2.40471148,9.91649943
8.69121663,18.50472718
8.07691443,16.3178404
9.64891579,19.26217781
-7.39331339,17.70268391
-5.20491782,14.33368656
5.22776828,14.53894777
-5.69695758,15.59702524
1.88637814,6.87440697
-7.58504187,17.90803357
-5.63450451,15.72259203
-5.91942185,14.19873429
-2.97865455,9.00111021
6.65407979,16.86574465
-9.20556276,18.22815251
8.06659284,16.24015799
-1.58247529,7.72481657
-5.71832385,15.52469667
-8.31759068,18.26655536
2.89042839,9.33427783
7.23410792,16.907116
-2.81240075,9.85702994
-8.81175543,17.82558072
6.19809255,15.55072026
8.71339194,18.4211331
-0.67251069,4.60892697
4.68242206,14.21586071
-0.91189107,3.7114268
-5.21765332,14.45044579
5.89597481,14.35576411
4.07665145,11.44240893
0.81309837,4.24868286
0.99651252,3.61461222
-4.433595,14.07734331
9.47927988,19.34348156
-3.44586906,12.28890092
7.6112662,17.8887496
-6.34395662,16.52173031
-9.755964,18.83801768
2.4074393,9.9273984
-9.4883669,19.35107853
-0.57727198,4.4861104
-9.45890023,19.32193693
-9.31414117,18.93804644
5.16088037,13.89277905
7.51857406,17.90183524
-9.64070263,19.27945773
8.16473328,17.14512409
-0.96025973,3.5777264
-0.74407643,4.52024287
0.26888308,2.87703708
2.4193055,9.9731083
2.74352006,10.20420767
7.4307798,17.78969551
-9.74298632,18.91190383
0.62883041,4.58022644
5.4286572,15.55910636
-3.29190532,11.59366095
-8.45872225,18.65393236
2.73140942,10.24631025
5.7328712,15.46566267
-7.85037347,16.75427405
9.63382424,19.29258055
2.62651101,10.3943437
-2.9812916,9.00131469
0.7603025,4.47273018
8.02811888,16.02670129
-2.98195061,9.00147844
1.89448573,6.82659247
2.71530167,10.29343114
-3.01517289,9.06934036
-8.36619995,18.45224671
8.70563678,18.4523684
-1.83837005,7.17732459
-9.6686848,19.21289344
2.96301017,9.01437641
7.73343356,17.55792077
-2.21961834,8.67906333
-7.98559008,15.96152682
-1.98899677,6.57054979
-4.18224373,12.5420377
4.81743441,13.57854505
-5.82593795,14.8981384
-7.09574973,15.59932449
-0.13121193,1.26444451
-3.11128488,9.83391842
0.68694689,4.60582247
-9.46931284,19.3337335
-8.68076503,18.53823211
-1.1490299,5.01565059
-3.64917071,12.52527955
-0.22983691,2.48214055
7.60756285,17.8923335
2.58710657,10.37143082
1.16171348,5.17144832
7.74186558,17.51621543
-1.77399828,7.52991922
0.26684998,2.85798021
-3.45831698,12.32279221
5.68775989,15.6231649
-1.40033571,7.15887721
-9.15009224,17.71091613
-0.59060379,4.51578356
-8.3952252,18.53385958
0.4841535,4.19438253
-7.34056632,17.52765601
-3.30703789,11.69164042
-0.2753883,2.93691918
-6.82624333,16.02637901
8.86219854,17.408197
0.08870713,0.73348451
5.94024867,14.08658098
7.24393515,16.98234969
5.05302356,12.86545475
-2.17614852,8.2114889
7.28351862,17.24686633
9.372239,19.15028124
-9.29193201,18.82908048
4.3529925,13.79703738
3.14769067,10.24038662
8.04295404,16.0932503
0.20954354,2.25322516
-7.6732113,17.77884716
-6.97678426,15.07382316
-9.14369872,17.6482502
-5.56945583,15.74867475
8.78764055,18.00483985
-0.49829511,4.24746127
2.83179433,9.7315809
7.89397272,16.39880997
1.12122336,4.67387165
3.04727785,9.24354912
9.46387546,19.32778159
-9.45744883,19.32015933
8.7869077,18.00998308
8.30872681,18.22492805
6.0735417,14.33469929
0.05952046,0.41820801
4.32033014,13.63734596
-4.94189708,12.72977721
3.9163389,11.20508059
