input,output
9.28599894,0.13842669
-2.85262604,-0.28496184
-3.68407005,0.51625929
6.81719571,0.51008425
0.51290995,2.0258199
9.61003886,-0.18413593
-4.18733974,0.86529926
-9.70181877,0.2735105
-9.9764403,0.52410369
-9.62237738,0.19631604
-6.64682633,-0.35567951
1.20265267,3.40530535
7.32165157,0.86228787
-9.80701982,0.37300147
-3.55421894,0.40101657
0.08050843,1.16101687
-2.75545643,-0.37661194
5.31728968,-0.81765254
-7.07362659,-0.7106638
3.5932033,4.59586545
-0.98101257,-1.92512499
5.2985394,-0.82807739
6.59183745,0.30514627
-5.83793098,0.43068742
-0.73997852,-1.14516723
-2.83430503,-0.30247443
-6.62767716,-0.33771843
-4.19966246,0.87141024
-8.96127636,-0.44708299
9.87576826,-0.43580563
4.81390892,7.56510322
-6.93450359,-0.60623534
5.39041795,-0.77425051
8.8821352,0.51653976
1.59234039,4.18468079
7.26103798,0.83000172
4.0040452,5.55483253
6.85710375,0.5439788
-2.36907912,-0.69793753
-6.79283929,-0.48787523
5.17445276,-0.88947507
7.33895623,0.87092994
9.05612542,0.3604755
3.65652069,4.74072318
9.39186745,0.03298797
-9.38488046,-0.03988692
6.9496241,0.6191497
9.10663778,0.31291154
-0.94164266,-1.77658865
0.16067875,1.32135751
2.98086305,3.255737
9.10720725,0.31237053
-0.88112777,-1.56522316
-2.49727943,-0.60064949
-4.99140141,0.96132789
0.67652931,2.35305862
-4.36026396,0.93864193
8.95194358,0.45554099
-9.67546498,0.24806956
-3.45338998,0.30676979
-5.57172232,0.65294255
-4.86657996,0.9881361
-8.25027264,-0.92249901
-2.35056353,-0.71107724
0.40069216,1.80138432
-6.95830032,-0.6249871
6.59267498,0.30594296
3.26814971,3.87022128
5.68644157,-0.55856034
-7.29604049,-0.84834695
3.95494389,5.43791503
2.10458677,1.5660633
-7.7088027,-0.98948004
1.85386082,4.70772165
0.87201392,2.74402785
-3.88232722,0.67483019
3.52549295,4.44219259
4.89763493,7.78112935
-5.80301781,0.46192774
-1.14223845,-2.63252687
-8.1588448,-0.95388803
8.99809621,0.41397598
-6.74819108,-0.44842797
2.17604687,1.69189791
-9.04985257,-0.3662031
-5.41591754,0.76256427
-1.94229501,-9.26962218
3.25861051,3.84939947
-6.1944306,0.08863823
-5.1433392,0.90856922
1.02025694,3.04051389
-8.48636804,-0.80661927
5.72008979,-0.53052693
-1.36947042,-3.9378427
7.41446043,0.90555798
-1.68106215,-6.43169326
0.91668808,2.83337616
4.04270768,5.64731774
-7.58610872,-0.96433608
4.85166774,7.66234806
-2.55360753,-0.55468565
6.10000656,-0.1799132
-8.54181797,-0.77262146
-2.0135998,-0.903554
-4.0708938,0.80120195
-8.05123866,-0.98060783
3.03812122,3.37607972
-2.97938461,-0.16149766
7.83507108,1.00021681
6.1742313,-0.10665616
-7.49298943,-0.93554684
6.04190539,-0.23656864
9.63668772,-0.21026203
-4.32592316,0.92624694
2.18906082,1.71506918
-4.27465683,0.9057153
8.97784215,0.43233053
3.07176794,3.44730163
-5.21292382,0.87732602
1.59464696,4.18929393
9.47183441,-0.04696209
-2.10620846,-0.86005844
4.70784724,7.29354166
8.45095111,0.82725668
-7.45191132,-0.9202528
0.92476143,2.84952286
-4.84658828,0.99100878
-9.00442908,-0.40807899
-2.44082215,-0.64480681
6.15767418,-0.12306468
-1.01806657,-2.0732514
-4.96928575,0.96718311
-4.64222216,0.99753932
-1.71058852,-6.71596393
-1.15159944,-2.67882904
8.00666514,0.98869973
-5.99430263,0.28488138
-8.29627244,-0.90377355
0.83109226,2.66218453
-7.01296224,-0.66670339
-0.8639485,-1.50880572
7.3816282,0.89112257
3.30590339,3.952901
2.53632111,2.36059121
